,type,tray,position,sample_id,weight_mg,irms_id,delt_n,delt_c,percent_n,percent_c
1,Coral_symbiont,TLPR21_Tray3,A1,15MC1ML-S,1.0015,39405,0.86,-14.17,5.738341486,37.42847047
2,Coral_symbiont,TLPR21_Tray3,A2,15MC2ML-S,1.0785,39406,2.46,-12.48,4.147983929,40.57994397
3,Coral_symbiont,TLPR21_Tray3,A3,15MC3ML-S,1.0075,39407,3.1,-13.74,3.741340402,31.68326471
4,Coral_symbiont,TLPR21_Tray3,A4,15MC4ML-S,1.053,39408,2.76,-13.08,4.005666044,30.79192925
5,Coral_symbiont,TLPR21_Tray3,A5,15MC5ML-S,1.0325,39409,3.04,-10.41,2.011066315,21.66300636
6,Coral_symbiont,TLPR21_Tray3,A6,30MC1ML-S,1.0875,39410,2.55,-9.22,1.494665229,20.1454945
7,Coral_symbiont,TLPR21_Tray3,A7,30MC2ML-S,0.9965,39411,1.28,-14.75,4.513514414,37.8618383
8,Coral_symbiont,TLPR21_Tray3,A8,30MC4ML-S,1.0545,39412,2.53,-12.46,2.758125505,27.45092353
9,Coral_symbiont,TLPR21_Tray3,A10,30MC5ML-S,NA,NA,2.3,-13.755,4.668232045,36.90718558
10,Coral_symbiont,TLPR21_Tray3,A11,45MC1ML-S,1.0655,39415,2.13,-13.52,3.082740401,30.90597142
11,Coral_symbiont,TLPR21_Tray3,A12,45MC2ML-S,1.0865,39416,2.29,NA,NA,NA
12,Coral_symbiont,TLPR21_Tray3,B1,45MC3ML-S,1.068,39417,2.2,-9.48,1.709377281,18.42889132
13,Coral_symbiont,TLPR21_Tray3,B2,45MC4ML-S,1.053,39418,2.41,-9.79,1.468057138,17.70697315
14,Coral_symbiont,TLPR21_Tray3,B3,45MC5ML-S,1.09,39419,1.91,-10.55,1.929315652,20.51399688
15,Coral_symbiont,TLPR21_Tray3,B4,55MC1ML-S,1.036,39420,4.19,-12.97,4.357720681,29.64376513
16,Coral_symbiont,TLPR21_Tray3,B5,55MC2ML-S,1.072,39421,2.93,-14.77,4.393602458,30.73759789
17,Coral_symbiont,TLPR21_Tray3,B6,55MC3ML-S,1.0245,39422,2.16,-11.93,2.288061022,22.9037037
18,Coral_symbiont,TLPR21_Tray3,B7,55MC4ML-S,1.0115,39423,2.52,-13.35,2.787160155,28.52717064
19,Coral_symbiont,TLPR21_Tray3,B8,55MC5ML-S,1.0255,39424,3.2,-13.65,2.492777415,24.68430478
20,Coral_symbiont,TLPR21_Tray3,B9,15OFA1ML-S,0.9925,39425,1.79,-8.33,1.725206691,17.70080075
21,Coral_symbiont,TLPR21_Tray3,B10,15OFA2ML-S,0.9575,39426,1.79,-10.76,1.758044811,19.77121275
22,Coral_symbiont,TLPR21_Tray3,B11,15OFA3ML-S,1.0925,39427,2.72,-12.61,6.125687567,42.31226673
23,Coral_symbiont,TLPR21_Tray3,B12,15OFA4ML-S,0.839,39428,2.5,-13.44,4.82328913,35.82239026
24,Coral_symbiont,TLPR21_Tray3,C1,15OFA5ML-S,1.0505,39431,1.82,-12.28,6.007876084,42.79069678
